EEP,M/Mo,LogTeff,LogG,LogL/Lo,DECam_u,DECam_g,DECam_r,DECam_i,DECam_z,DECam_Y
174,0.852506,3.7537,3.5717,0.765,3.9123,3.1984,2.7922,2.6743,2.6409,2.6359
175,0.852767,3.7513,3.5533,0.7742,3.9067,3.1824,2.7684,2.647,2.6112,2.6052
176,0.853007,3.7494,3.5358,0.784,3.8978,3.1644,2.7437,2.6193,2.5814,2.5744
177,0.853231,3.7477,3.5193,0.7941,3.8853,3.1443,2.718,2.5912,2.5516,2.5439
178,0.85344,3.7462,3.503,0.8043,3.8722,3.1238,2.6924,2.5633,2.522,2.5136
179,0.853639,3.7449,3.4874,0.8148,3.8565,3.1019,2.6661,2.5351,2.4924,2.4834
180,0.853829,3.7437,3.4723,0.8253,3.84,3.0796,2.6396,2.5068,2.4629,2.4534
181,0.854012,3.7427,3.4575,0.836,3.8222,3.0566,2.613,2.4785,2.4335,2.4235
182,0.854233,3.7415,3.4394,0.8494,3.7987,3.0272,2.5794,2.4431,2.3968,2.3862
183,0.854451,3.7404,3.4214,0.8632,3.7736,2.9966,2.5448,2.4069,2.3593,2.3483
184,0.854668,3.7394,3.4034,0.8773,3.7468,2.9649,2.5094,2.3697,2.3211,2.3097
185,0.854883,3.7385,3.3855,0.8917,3.7191,2.9325,2.4734,2.3323,2.2827,2.2708
186,0.855097,3.7377,3.3677,0.9063,3.6901,2.8993,2.437,2.2944,2.2439,2.2317
187,0.855309,3.7369,3.35,0.921,3.6598,2.8652,2.4,2.2562,2.2048,2.1923
188,0.855521,3.7362,3.3323,0.9359,3.6293,2.8309,2.3629,2.2178,2.1656,2.1528
189,0.855732,3.7355,3.3147,0.9509,3.598,2.796,2.3254,2.1792,2.1262,2.113
190,0.855942,3.7348,3.2971,0.966,3.5659,2.7607,2.2877,2.1404,2.0867,2.0732
191,0.856151,3.7342,3.2795,0.9812,3.5334,2.725,2.2498,2.1015,2.0471,2.0333
192,0.856359,3.7336,3.2619,0.9966,3.5,2.6888,2.2115,2.0623,2.0072,1.9931
193,0.856566,3.7331,3.2443,1.0122,3.4661,2.652,2.1727,2.0226,1.967,1.9526
194,0.856772,3.7325,3.2265,1.0279,3.4318,2.6149,2.1337,1.9827,1.9264,1.9118
195,0.856977,3.732,3.2086,1.0438,3.3969,2.5772,2.0942,1.9424,1.8855,1.8706
196,0.85718,3.7315,3.1906,1.0598,3.3613,2.539,2.0544,1.9018,1.8443,1.8291
197,0.857382,3.731,3.1725,1.0761,3.3251,2.5003,2.014,1.8607,1.8026,1.7871
198,0.857582,3.7305,3.1541,1.0925,3.2887,2.4612,1.9733,1.8191,1.7605,1.7447
